id,title,link,score,review
34,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,6,니그로가 스파이더맨에 이어 듄까지 망쳤구나...몰입이 안됨  진짜 짜증난다 레베카 퍼거슨한테도 쳐발림ㅋㅋ
35,할로윈 킬즈,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=190727&target=after,2,뻔한스토리   한마디 정리: 악당는 불사신이다ㅋ전형적인3류  다음편 만들려나 ㅋㅋ평점조작쩐다ㅋㅋ 이런걸 개봉 ㅋㅋ시간낭비
36,피아니스트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=35187&target=after,10,예술은 무력하나 언제나 강하다
37,007 노 타임 투 다이,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=99702&target=after,9,완전 최고. 더이상 다니엘크레이그를 볼 수 없다는게 너무너무 아쉬워요.
38,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,일반관에서 보고  다음날 다시 아이맥스에서 봤어요.계속 머리속에서 떠나질 않네요.빨리 2편도 보고싶다... 배우들 영상 음악 다 넘 좋았어요.
39,기적,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=199860&target=after,9,임윤아 연기 잘하네 이제 박정민 이성민 진짜 연기력 터져나감 강추
40,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,1,인생 영화였음. 인생 최악. 내 인생 가장 아까운 세시간.
41,행복을 찾아서,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=64354&target=after,10,행복은 노력하는 자에게도 오지만 진정한 행복은 마음속에 간직할수 있는 사람에게 더 가까이 온다
42,미스 페레그린과 이상한 아이들의 집,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=129383&target=after,8,이거너무재밌었는데 ..흥행안돼서 담편없는게너무슬픔책의 그 기괴하면서 신비로운 느낌을 영화가 다 담아냈는데 ㅠㅠ
43,어른들은 몰라요,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=195691&target=after,4,이영화 이정도면 박화영이잘못한거같은데
44,소리도 없이,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187893&target=after,10,유아인나오는줄도모르고 그냥틀었는데 한없이빠져들면서 봤음 알것같은전개인데 알수없음 너무신기하게빠져들어보는영화엿음 감상평도어케써야될지모르겠음 그냥초집중됫음
45,케이프 피어,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=11082&target=after,10,로버트 드니로의 미친 연기가 소름돋을 정도로 강력하다.
46,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,진심 감동... 한가지 아쉬운 점이 있어서 별점은 8점... 개인적으로는 2부작이 아니라 3부작으로 갔으면 좋았을꺼 같다는 생각이 든다. 아트레이데스 가문이 하코넨 가문의 침공에 몰락한 상황과 폴의 탈출까지가 1부... 폴이 어머니와 사막과 샤이 훌루드의 위협을 피해 프레멘과 만나면서 프레멘을 장악하고 이후 차니와 결혼하는 상황까지가 2부... 마지막 전쟁과 페이드 로타 하코넨과의 결투에서 승리하고 사담 황제에게 황위를 양위 받게 되는 것이 3부... 프로덕션 과정에서 이렇게 기획했어도 좋았을꺼 같다... 이후 총 6권의 책을 생각한다면... 이게 거의 20년 프로젝트가 되겠지만... ㅎㅎ
47,꽃다발 같은 사랑을 했다,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=200896&target=after,10,노부히로 감독은  항상 옳다
48,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,7,어려운 수학문제를 푸는 느낌.. 다 풀고 나면 기분이 좋을까?
49,모노노케 히메,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=19303&target=after,10,죽기전에 이거보고 죽는다
